#Total No. of N-Gram Types: 4003
#Total No. of N-Gram Tokens: 50366
1	1670	1	а а
2	1003	1	а е
3	803	1	е а
4	786	1	е е
5	702	1	в е
6	599	1	а в
7	589	1	е ь
8	584	1	у а
9	520	1	а ь
10	485	1	а у
11	466	1	ь а
12	441	1	в а
13	439	1	е я
14	427	1	я а
15	365	1	е в
16	362	1	у е
17	336	1	а я
18	336	1	я е
19	333	1	е у
20	308	1	г в
21	278	1	ь в
22	257	1	че ь
23	254	1	ь е
24	245	1	а ы
25	235	1	у в
26	235	1	ы а
27	227	1	я в
28	213	1	ч а
29	210	1	а д
30	208	1	в я
31	203	1	в в
32	201	1	ь я
33	199	1	у ч
34	194	1	бы а
35	194	1	е ы
36	192	1	а ч
37	189	1	в бще
38	185	1	д а
39	185	1	ы е
40	182	1	а г
41	181	1	а э
42	177	1	б а
43	175	1	ь у
44	175	1	э а
45	172	1	а -
46	172	1	в у
47	159	1	а бы
48	157	1	в э
49	156	1	д е
50	150	1	я у
51	145	1	а б
52	143	1	де а
53	143	1	е г
54	141	1	е з
55	135	1	в д
56	128	1	г а
57	127	1	у у
58	127	1	э в
59	126	1	а да
60	126	1	д я
61	125	1	э у
62	123	1	е д
63	121	1	а х
64	119	1	у я
65	118	1	э е
66	114	1	х д
67	113	1	в ё
68	113	1	е э
69	111	1	а че
70	108	1	а ая
71	108	1	з аю
72	106	1	я ь
73	103	1	д в
74	102	1	ш а
75	101	1	е ча
76	100	1	х е
77	97	1	ы в
78	96	1	да а
79	94	1	е бы
80	93	1	бабуш а
81	93	1	е ч
82	92	1	ч е
83	92	1	ь ы
84	90	1	- е
85	89	1	в ы
86	89	1	г е
87	88	1	а де
88	88	1	де е
89	88	1	ь г
90	88	1	ь э
91	87	1	б е
92	87	1	я я
93	86	1	у ь
94	86	1	ы у
95	84	1	з а
96	83	1	в де
97	83	1	у ы
98	82	1	ч бы
99	81	1	в ь
100	81	1	д уг
101	80	1	а з
102	80	1	ва ь
103	80	1	я г
104	79	1	ва а
105	79	1	х ш
106	77	1	ч -
107	77	1	ь ч
108	76	1	е че
109	75	1	ч я
110	73	1	ь д
111	72	1	е х
112	72	1	за а
113	71	1	аза ь
114	71	1	е ав
115	71	1	е б
116	71	1	е де
117	69	1	- а
118	69	1	а ш
119	69	1	в г
120	68	1	ве е
121	67	1	же а
122	67	1	ч в
123	67	1	я д
124	66	1	з е
125	66	1	ю а
126	65	1	а за
127	65	1	ч ы
128	64	1	д у
129	63	1	а же
130	63	1	ч у
131	61	1	бы ь
132	61	1	ва е
133	61	1	х а
134	59	1	в б
135	59	1	ве а
136	59	1	я х
137	58	1	в з
138	58	1	в ю
139	58	1	да е
140	58	1	ь х
141	57	1	ая а
142	57	1	г у
143	57	1	э бы
144	57	1	э г
145	57	1	я ч
146	56	1	в ч
147	56	1	че у
148	56	1	ш у
149	56	1	я э
150	55	1	- э
151	55	1	аб а
152	55	1	бы в
153	55	1	ж з
154	54	1	а ве
155	54	1	а е-
156	54	1	в ящ
157	54	1	з ач
158	54	1	у э
159	53	1	де ь
160	53	1	ч э
161	52	1	а ва
162	52	1	бы е
163	52	1	в ш
164	52	1	у д
165	52	1	уч ь
166	52	1	ю я
167	51	1	ду а
168	51	1	ж а
169	51	1	я бы
170	50	1	а аза
171	50	1	гузе ь
172	50	1	д г
173	49	1	ав ь
174	49	1	ех а
175	49	1	же е
176	49	1	я че
177	48	1	г д
178	48	1	да в
179	48	1	че ве
180	47	1	б ьше
181	46	1	ду аю
182	45	1	а вы
183	45	1	е ю
184	45	1	я б
185	45	1	я ы
186	44	1	у х
187	43	1	аве е
188	43	1	б ьш
189	43	1	де в
190	43	1	е вы
191	43	1	е ые
192	43	1	ь че
193	42	1	в егда
194	42	1	в че
195	42	1	у да
196	42	1	у ебя
197	42	1	ь б
198	41	1	ав е
199	41	1	б в
200	41	1	че ы
201	41	1	ш е
